
Order_ID,Date,Product,Category,Quantity,Unit_Price,Sales,Profit,Region
1001,2026-01-05,Laptop,Electronics,2,55000,110000,12000,South
1002,2026-01-08,Mouse,Electronics,10,800,8000,2000,South
1003,2026-01-12,Keyboard,Electronics,5,1500,7500,1800,North
1004,2026-01-15,Monitor,Electronics,3,12000,36000,6000,West
1005,2026-01-20,Office Chair,Furniture,4,7000,28000,5000,South
1006,2026-01-25,Desk,Furniture,2,9000,18000,3500,East
1007,2026-02-02,Laptop,Electronics,1,55000,55000,6000,North
1008,2026-02-07,Mouse,Electronics,15,800,12000,3000,West
1009,2026-02-14,Keyboard,Electronics,8,1500,12000,2800,South
1010,2026-02-18,Monitor,Electronics,2,12000,24000,4000,East
1011,2026-02-25,Office Chair,Furniture,3,7000,21000,3800,North
1012,2026-03-03,Desk,Furniture,5,9000,45000,9000,West
1013,2026-03-10,Laptop,Electronics,3,55000,165000,18000,South
1014,2026-03-15,Mouse,Electronics,20,800,16000,4000,North
1015,2026-03-20,Keyboard,Electronics,10,1500,15000,3500,East
1016,2026-03-25,Monitor,Electronics,4,12000,48000,8000,South
